GEOID20,Tot_2020_sen,D_2020_sen,R_2020_sen,Tot_2020_pres,D_2020_pres,R_2020_pres,Tot_2018_gov,D_2018_gov,R_2018_gov,Tot_2016_sen,D_2016_sen,R_2016_sen,Tot_2016_pres,D_2016_pres,R_2016_pres
0202021-620,920,475,406,917,496,381,785,394,365,876,117,402,896,398,408
0202021-605,1423,658,726,1423,685,692,1096,544,517,1222,177,537,1242,516,612
0202028-135,2453,1917,479,2470,1967,430,1258,928,277,1366,234,571,1379,878,299
0212229-120,182,136,40,173,121,47,114,75,31,126,18,61,124,67,39
0202022-640,1685,772,850,1703,850,811,1228,534,642,1361,154,621,1369,472,734
0202015-300,908,287,544,921,286,564,332,111,200,851,131,439,901,207,555
0202013-245,1655,638,920,1718,658,948,628,205,394,912,160,448,951,246,554
0202015-320,1150,607,457,1219,685,452,771,424,307,878,156,362,923,351,441
0202016-355,939,464,422,971,524,420,754,387,334,1015,196,408,1039,462,435
0202022-645,2031,706,1258,2038,837,1141,1980,866,1043,1981,154,1097,1999,750,1065
0202016-340,964,474,434,974,500,429,882,483,348,1002,158,416,1024,479,431
0202016-330,1289,679,531,1298,709,541,1077,595,432,1179,219,481,1202,564,469
0207037-714,847,462,353,846,421,390,956,660,263,983,150,446,1014,518,381
0207037-732,163,84,69,166,70,90,166,119,42,177,11,124,181,84,69
0213036-670,1120,382,708,1120,369,703,799,301,466,918,66,482,948,283,552
0219836-670,49,16,31,49,16,31,35,13,20,39,3,20,40,12,23
0219836-680,1033,684,293,1054,750,270,670,358,243,727,85,445,741,360,237
0209006-155,358,77,263,361,68,279,298,52,233,324,20,153,334,52,247
0209006-160,839,164,645,853,151,669,571,108,448,735,36,284,755,100,590
0209006-145,697,219,446,722,201,456,317,69,218,626,72,375,652,105,447
0209001-446,1632,700,837,1644,714,841,1309,630,619,1409,134,667,1461,545,703
0209004-240,1804,985,763,1813,1020,711,1621,999,552,1820,242,795,1854,977,689
0209002-345,2062,467,1397,2275,572,1587,1396,377,954,1800,148,848,1980,446,1308
0209002-375,622,222,362,680,234,377,254,85,149,600,115,287,657,184,377
0209004-270,2412,886,1402,2408,881,1395,2205,941,1166,2296,169,1103,2312,733,1265
0209004-265,2303,751,1455,2285,763,1428,1986,748,1152,2131,158,974,2147,598,1234
0209003-130,1901,478,1317,1931,501,1342,1317,359,890,1614,114,745,1645,333,1124
0206606-025,515,179,307,532,185,323,388,144,222,405,44,173,415,88,275
0205038-844,81,54,18,79,43,33,102,82,13,94,18,46,95,57,7
0205038-818,111,60,39,111,59,39,113,88,22,105,10,53,108,61,31
0205038-828,216,142,43,217,178,22,202,124,63,185,31,89,185,114,20
0205038-810,725,355,320,725,375,321,805,536,231,770,101,410,791,450,239
0215839-910,210,84,101,215,108,86,187,118,48,214,19,144,216,114,56
0205038-806,51,28,11,52,24,16,74,52,12,71,12,35,71,43,7
0215839-940,236,138,71,230,167,50,184,132,36,192,24,108,192,118,26
0215839-922,204,96,72,198,130,60,193,139,37,198,12,149,201,119,40
0229006-015,77,14,62,82,18,63,60,11,47,71,3,43,70,13,55
0224006-015,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1
0229006-050,76,9,62,82,9,73,76,17,46,76,6,29,76,11,60
0229037-304,84,45,35,90,64,23,87,61,17,95,9,61,93,65,17
0229006-095,65,51,11,63,44,17,97,74,17,118,31,52,120,109,4
0229039-322,112,65,41,116,91,24,102,89,9,100,9,75,91,62,16
0229006-070,14,9,4,19,19,0,10,6,0,13,0,8,13,9,0
0215839-918,159,88,53,161,111,40,190,126,34,120,9,81,119,80,21
0218039-902,140,52,54,144,91,31,124,77,37,140,6,88,147,86,25
0217008-150,1908,394,1412,1934,385,1486,1443,294,1101,1470,80,578,1521,235,1155
0223033-540,946,682,222,955,683,219,728,486,210,817,211,310,825,442,229
0224006-060,151,70,72,159,88,66,123,69,46,121,7,83,114,60,47
0206606-060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0206606-020,119,18,92,126,14,108,105,18,83,130,3,53,137,19,108
0202023-760,643,255,360,647,266,362,604,272,301,634,74,280,648,288,306
0202022-660,1733,764,926,1745,846,853,1403,669,690,1515,146,771,1550,672,733
0207037-702,107,33,61,103,25,74,118,79,32,84,7,50,81,33,41
0205037-746,46,22,12,47,43,3,35,24,6,43,3,22,42,34,5
0213036-640,740,198,500,748,221,501,524,153,354,556,34,290,577,131,393
0224006-030,110,25,80,111,25,84,125,38,79,135,16,50,138,45,86
0229006-030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0209005-590,416,93,282,414,99,291,257,44,206,242,16,101,248,47,185
0209003-175,964,225,669,999,280,658,676,173,471,903,72,402,912,183,602
0209005-582,3134,1493,1542,3140,1516,1482,2913,1533,1253,3157,363,1431,3226,1395,1402
0209003-135,1742,364,1259,1748,363,1299,1252,251,947,1514,62,729,1550,223,1136
0224006-027,101,9,89,100,5,95,38,6,32,68,0,32,69,9,57
0224006-090,776,153,578,801,157,620,632,156,445,735,74,312,759,160,511
0206606-090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0202025-850,1328,640,669,1364,720,610,1270,693,547,1327,127,633,1345,629,584
0202014-950,1754,575,1116,1734,610,1075,1339,479,817,1494,115,743,1522,399,944
0202027-915,807,401,373,806,416,365,694,308,369,774,143,339,783,305,385
0202018-465,518,356,138,509,335,156,420,257,142,491,116,179,497,273,177
0202014-955,786,302,452,778,298,451,590,194,377,697,69,319,711,212,407
0218039-948,323,127,174,338,194,122,297,185,92,306,15,202,315,152,104
0218039-946,77,39,26,78,46,27,54,27,20,85,9,50,86,40,20
0202025-865,1000,447,524,988,450,510,845,369,441,897,109,414,922,364,453
0217011-065,744,229,470,747,234,497,584,150,420,704,38,320,716,150,492
0217011-085,1222,336,859,1230,370,820,922,220,667,1026,60,453,1037,200,722
0217010-040,351,59,270,359,66,282,263,47,208,262,18,104,264,46,188
0217010-025,869,182,652,861,152,668,667,140,508,702,29,247,719,107,530
0217007-100,1412,341,984,1454,398,994,996,206,756,1075,63,462,1099,200,745
0202024-730,2042,812,1200,2048,893,1097,1759,788,913,1822,186,951,1834,716,916
0202024-715,1230,478,733,1243,552,670,1127,510,582,1193,118,627,1202,531,565
0202014-940,1535,552,899,1543,590,872,1212,426,731,1393,120,663,1407,404,831
0202020-570,1011,649,305,1022,673,323,734,468,235,834,208,307,850,459,283
0219535-755,1653,697,895,1596,535,1002,1452,689,691,1655,196,897,1703,564,914
0210535-755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0219835-755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0202016-345,878,431,413,872,424,405,759,384,347,850,113,385,871,354,440
0202023-750,1169,522,582,1166,544,545,945,444,455,1012,149,402,1032,383,495
0202025-840,496,259,208,500,275,213,325,158,161,357,55,155,366,159,167
0202025-860,1497,731,685,1501,759,679,962,474,457,1104,153,506,1129,449,536
0202014-970,1724,580,1090,1752,683,997,1233,452,747,1419,132,694,1453,444,825
0202013-250,1865,653,1088,1888,659,1123,1278,424,809,1626,166,730,1722,438,1058
0202017-425,1085,598,418,1075,598,430,799,480,282,963,193,386,992,507,330
0202020-540,381,213,156,369,215,136,368,245,118,453,64,199,446,229,168
0218039-952,90,47,34,92,71,17,76,53,15,79,9,47,81,37,21
0202018-450,994,577,357,1014,633,343,610,324,261,759,135,295,770,333,345
0224009-600,2041,305,1630,2069,298,1705,1469,243,1180,1620,102,685,1670,229,1292
0224009-608,594,91,479,607,94,493,441,73,356,519,35,227,526,59,415
0209005-592,776,443,288,787,463,297,592,342,230,690,119,273,693,258,335
0209001-480,1322,539,725,1361,622,686,1028,508,487,1150,110,598,1187,421,591
0209001-475,518,259,226,547,308,220,374,190,160,451,54,223,461,158,241
0209002-355,1223,567,605,1285,565,662,909,436,426,1003,154,453,1114,421,535
0207037-754,298,134,128,297,129,148,265,191,61,263,7,182,268,135,85
0202018-445,1114,624,438,1123,637,421,740,412,305,831,141,318,845,401,320
0207037-710,0,0,0,0,0,0,28,27,0,22,0,17,20,15,4
0216437-730,25,22,3,27,21,6,27,25,0,50,6,31,52,21,8
0209004-230,975,651,292,990,679,274,692,471,192,801,146,280,817,469,238
0209006-150,440,93,284,438,94,318,307,72,223,345,31,96,363,79,230
0217010-045,1722,376,1249,1754,398,1330,1299,345,918,1408,105,488,1447,296,1032
0217009-622,1797,380,1327,1820,375,1366,1467,390,1039,1496,105,617,1522,294,1041
0217009-640,232,62,162,232,65,162,141,48,93,185,10,69,191,50,128
0217007-120,1326,296,956,1350,297,997,1422,385,988,1675,144,682,1722,337,1212
0217007-115,946,203,678,963,203,698,658,174,464,864,37,353,875,151,635
0217010-005,811,160,599,818,159,622,626,165,447,672,48,272,685,137,470
0217011-075,1146,420,655,1145,396,684,1050,351,654,1212,99,483,1227,297,761
0217011-070,1172,376,733,1178,371,747,1143,418,671,1242,106,528,1271,345,740
0217012-220,2530,673,1761,2582,689,1808,2038,528,1442,2258,149,928,2290,460,1586
0217012-205,1154,297,811,1146,284,818,807,207,577,902,50,360,919,174,672
0202012-225,1481,473,956,1505,541,920,1126,384,710,1242,130,539,1254,350,754
0217010-015,1700,391,1213,1725,374,1250,1311,321,957,1445,76,560,1468,222,1084
0217007-130,1325,293,962,1330,268,1013,790,141,631,797,70,279,816,123,613
0217007-125,2076,487,1463,2086,463,1555,1725,389,1300,1758,106,710,1813,306,1318
0217009-628,2347,633,1639,2336,597,1644,1857,506,1287,1866,163,705,1919,397,1326
0217012-210,1763,303,1375,1773,292,1409,1342,298,1014,1490,114,571,1520,215,1172
0217010-035,723,480,205,762,517,210,579,325,230,612,124,201,632,330,214
0202017-420,2072,1085,912,2108,1158,862,1558,826,685,1816,293,790,1851,799,829
0202020-535,1412,888,476,1407,887,465,1279,759,462,1384,308,522,1439,825,440
0202019-505,962,574,317,971,562,367,603,357,214,654,165,260,681,394,225
0202019-510,1013,531,431,1016,547,424,759,419,320,881,210,321,900,458,367
0202021-600,1079,680,389,1068,709,336,1255,823,391,1367,143,622,1374,860,404
0217010-010,1654,359,1210,1662,351,1268,1082,235,818,1159,70,478,1183,187,869
0202020-555,1189,761,391,1219,839,346,906,599,273,961,203,403,980,567,276
0205038-852,229,167,44,223,167,48,281,204,59,274,41,125,268,146,34
0229040-328,29,12,17,28,10,17,17,7,10,20,4,3,22,9,12
0201337-744,239,76,140,241,73,156,219,107,88,206,19,155,214,60,125
0201337-712,29,11,17,31,11,20,18,10,8,33,4,12,34,1,28
0209003-183,1695,292,1318,1707,323,1323,1269,240,984,1590,75,677,1623,218,1186
0209006-180,936,279,608,949,270,643,690,231,427,789,68,273,821,193,533
0205038-802,161,105,27,158,86,53,133,99,27,119,20,39,115,56,19
0229040-326,84,52,24,89,77,12,85,80,1,93,11,67,92,76,8
0229037-300,44,19,24,46,28,14,39,27,8,43,4,26,46,31,8
0229039-942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0201337-720,195,45,137,201,62,132,151,68,73,175,7,143,183,43,125
0229006-056,499,159,299,519,188,290,363,115,230,411,36,216,420,104,238
0213036-650,1346,420,876,1349,399,898,1019,342,649,1142,87,570,1167,278,770
0218540-006,87,27,45,85,32,41,58,36,13,75,3,45,78,43,21
0218540-004,126,68,38,126,77,43,91,60,26,126,15,57,126,71,23
0218540-016,109,32,57,106,32,69,110,66,32,92,9,57,93,34,38
0212229-100,1238,538,636,1245,541,661,1022,449,522,1083,158,438,1088,402,542
0212230-200,1497,304,1115,1550,352,1153,1082,272,756,1152,41,424,1183,198,900
0212231-380,1602,432,1090,1619,424,1143,1616,597,927,1712,133,542,1748,466,1133
0209001-495,368,159,196,374,161,192,298,133,155,324,25,149,337,108,192
0222035-765,2018,1096,818,2012,1050,888,1992,1105,775,2207,371,1020,2258,989,997
0209001-490,997,495,418,1003,491,463,650,328,276,829,151,324,860,398,369
0209005-587,272,95,165,270,91,172,160,46,110,222,15,108,226,47,157
0227536-690,1252,384,791,1272,396,827,1018,299,648,1092,85,645,1121,268,750
0218039-926,650,243,346,664,307,305,625,385,209,662,77,341,689,279,287
0202013-240,1594,443,1094,1675,572,1022,1247,375,823,1394,102,650,1482,362,939
0202027-905,995,491,463,994,489,471,776,336,414,778,107,332,784,295,400
0205038-824,211,149,37,209,125,76,192,128,43,171,30,70,170,89,32
0215839-904,233,120,94,233,137,91,320,242,55,231,26,143,236,157,46
0229037-310,42,11,23,46,39,7,37,33,4,22,1,17,22,21,1
0229039-314,215,93,114,217,107,94,185,124,46,225,23,155,236,116,87
0212231-310,894,487,378,924,524,378,770,464,287,689,88,216,717,375,266
0212229-140,272,122,141,277,126,143,244,138,100,244,31,89,249,116,100
0212230-230,1082,304,728,1079,314,740,756,224,500,872,76,333,888,204,585
0210535-750,91,48,36,102,57,43,60,23,30,69,5,45,78,21,52
0212231-300,2114,732,1302,2148,731,1337,1327,349,926,1412,128,461,1441,306,985
0212231-350,1329,639,637,1343,654,638,1487,771,650,1490,157,557,1526,615,698
0218840-038,83,48,29,88,75,12,83,55,26,99,16,66,98,79,10
0201637-706,976,426,494,991,465,505,775,413,316,965,199,501,996,532,354
0206806-024,89,29,60,92,28,64,76,27,49,112,20,47,112,32,75
0229006-024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0213036-600,953,441,434,967,447,463,869,421,401,992,126,468,1022,420,439
0206606-035,182,65,111,183,53,122,145,67,71,142,9,69,149,32,94
0209001-465,487,224,216,503,253,223,423,195,202,529,87,210,551,222,254
0209005-588,505,214,270,501,222,256,327,138,174,386,42,186,390,130,214
0209005-586,1271,671,556,1268,679,535,946,541,371,1066,137,495,1081,485,433
0217010-020,938,160,700,961,172,766,810,161,620,879,54,333,904,153,676
0217008-135,1767,285,1394,1778,275,1433,1333,249,1051,1354,80,470,1389,211,1070
0217011-090,859,212,596,861,202,622,606,157,437,677,32,257,692,124,493
0217010-050,491,137,334,489,130,348,360,77,265,326,23,118,324,48,231
0217007-105,943,210,699,934,196,711,726,179,532,751,47,313,774,142,588
0217008-155,2055,442,1520,2071,428,1599,1603,302,1244,1805,96,643,1863,285,1428
0217012-200,841,165,649,831,161,657,707,143,560,712,31,301,730,105,559
0217008-145,1444,262,1082,1455,239,1157,1097,233,828,1054,92,381,1084,164,807
0217007-110,1473,360,1006,1507,395,1056,1009,259,714,1163,96,459,1185,249,817
0217009-645,1014,325,631,1024,331,654,689,214,449,695,64,259,718,169,467
0229037-312,17,6,10,19,5,12,16,5,10,13,0,8,14,1,9
0229039-316,111,78,28,110,93,11,120,100,14,125,11,61,119,84,16
0205038-820,103,44,48,107,79,26,129,89,31,97,6,65,99,56,17
0215839-930,147,72,51,144,100,26,154,110,37,182,14,111,179,114,17
0209001-485,801,425,335,792,416,343,552,280,252,585,95,274,603,221,295
0209002-365,1747,644,1017,1904,738,1050,1216,508,655,1602,198,780,1741,534,968
0213036-610,1291,540,682,1308,541,704,1224,543,633,1348,166,732,1384,528,637
0215839-900,142,68,51,145,88,33,146,94,38,146,14,94,147,83,26
0229006-080,174,136,34,184,154,29,128,106,15,155,19,105,164,125,22
0215839-934,203,136,54,207,138,57,265,215,31,173,13,112,165,118,39
0205038-860,53,21,21,53,36,13,75,35,35,67,1,47,70,29,29
0205038-804,117,48,54,122,79,40,166,93,55,166,19,94,171,99,58
0229037-302,91,33,37,95,52,30,78,44,18,78,4,46,77,36,22
0205038-826,188,84,64,187,94,73,114,72,24,105,13,49,109,44,42
0202013-260,80,40,36,103,66,37,185,111,63,231,44,122,224,130,81
0202028-140,1971,678,1260,2015,854,1113,1758,725,992,1933,134,1046,1952,740,1019
0202020-550,334,213,109,330,211,116,264,138,94,322,68,131,325,175,114
0202014-965,2616,832,1709,2607,920,1597,2044,751,1225,2412,198,1177,2464,763,1352
0210033-550,384,243,133,387,245,140,221,113,97,179,42,69,174,69,83
0210533-505,759,572,173,736,540,175,403,261,120,379,121,102,386,239,102
0212229-160,1757,289,1357,1757,263,1439,1407,274,1076,1559,107,563,1590,201,1257
0218840-002,83,52,16,77,53,16,83,57,22,99,18,49,99,70,12
0218840-028,167,51,80,165,60,89,162,38,109,176,20,106,180,91,48
0216437-740,10,2,7,10,0,8,15,6,4,27,1,14,27,3,16
0218840-012,111,35,38,112,54,49,141,63,57,151,18,99,151,79,25
0202020-545,444,244,195,449,250,186,607,404,164,685,117,291,706,448,201
0205038-836,96,35,48,97,57,36,111,58,41,100,10,68,99,52,18
0229006-033,316,186,118,344,273,65,298,234,51,286,28,142,301,224,63
0202021-615,1074,525,522,1060,528,486,788,403,352,880,127,375,882,378,383
0224006-075,63,45,15,63,43,18,57,41,12,43,7,25,45,35,4
0202016-335,1293,689,537,1284,685,549,737,359,356,840,141,339,864,344,388
0202018-460,1078,719,325,1087,724,320,1041,696,299,1090,173,425,1125,653,346
0202025-870,1286,549,676,1290,582,652,1200,599,552,1296,181,544,1324,563,586
0202025-855,1519,738,733,1496,737,725,1166,535,597,1277,156,522,1317,485,685
0209003-165,2002,456,1445,2009,441,1458,1485,318,1103,1831,100,807,1883,284,1355
0218039-944,108,44,49,109,55,47,133,69,44,133,6,52,135,69,15
0218039-942,111,34,51,114,60,47,109,71,20,96,5,54,101,48,33
0202022-665,1232,570,615,1219,571,597,989,446,507,1051,150,484,1050,416,514
0218039-920,136,50,66,132,55,71,137,53,82,108,12,72,96,64,25
0202028-120,1475,538,912,1449,567,853,1276,531,703,1319,107,670,1337,491,729
0202016-325,916,484,384,918,507,376,589,323,252,726,137,255,750,383,256
0202023-735,680,345,310,673,327,322,517,272,236,576,85,258,586,259,268
0202018-475,465,231,212,488,270,201,489,253,219,506,74,244,522,245,220
0202018-440,657,401,236,659,408,223,517,311,188,541,90,202,550,260,226
0202018-455,787,476,258,773,470,283,663,379,254,827,194,297,845,457,301
0217008-140,1894,444,1300,1931,472,1387,1418,272,1110,1502,81,576,1549,219,1170
0217011-095,1646,474,1128,1652,518,1085,1164,357,772,1226,109,520,1247,281,854
0202012-230,2142,584,1498,2173,633,1463,1729,488,1196,1889,111,875,1920,420,1275
0202023-770,930,466,422,941,520,408,603,285,304,867,120,391,886,385,412
0205038-848,217,156,45,210,119,75,136,95,31,168,22,91,176,92,48
0209004-260,1531,1071,415,1520,1049,415,1101,807,264,1212,253,415,1226,718,304
0205038-822,101,67,24,102,84,10,103,84,17,95,14,55,97,68,14
0205038-840,104,65,32,106,80,22,138,110,17,114,31,59,115,65,17
0205038-838,165,99,51,162,98,62,107,89,14,118,6,70,127,75,39
0205038-808,753,408,289,762,433,292,777,518,228,732,74,385,757,395,234
0218039-938,253,132,81,263,204,41,224,156,53,235,17,152,241,155,33
0218039-950,39,23,14,39,33,3,43,28,7,53,8,27,52,24,5
0202027-925,1148,531,569,1141,548,551,910,410,478,1010,116,478,1029,383,523
0212231-360,1475,713,704,1478,715,713,1146,571,539,1229,150,439,1256,531,557
0211034-400,1285,727,532,1260,706,507,1165,681,448,1193,178,519,1225,601,493
0218840-026,151,41,91,157,67,76,190,104,67,175,16,99,172,81,44
0218540-034,85,24,37,86,25,37,64,30,25,77,9,41,77,30,15
0206806-012,185,59,112,197,71,116,142,65,74,154,10,69,157,52,89
0209006-170,816,260,518,843,277,515,710,251,424,748,56,299,775,217,441
0217010-030,998,265,688,1000,243,733,692,173,497,769,86,285,785,181,513
0229039-318,72,36,28,75,51,23,62,47,5,55,4,44,57,44,8
0205038-842,68,32,19,66,24,23,94,60,21,140,15,86,141,92,8
0209005-594,112,80,31,114,78,30,76,45,28,137,37,39,142,89,37
0205038-816,19,11,5,21,19,1,33,19,13,29,4,14,29,24,2
0209001-470,774,366,382,789,380,380,741,400,295,814,107,367,844,379,353
0215838-834,173,99,51,172,97,45,121,83,32,123,12,73,126,62,29
0229039-324,72,36,34,75,49,23,54,43,9,62,3,33,62,42,13
0205038-854,129,64,55,132,98,27,139,77,45,104,12,57,105,60,15
0202019-525,1128,719,347,1174,792,332,1158,850,282,1253,242,458,1277,789,362
0202014-945,1246,447,751,1248,471,705,879,311,535,1032,105,468,1054,286,613
0212229-180,1360,219,1084,1380,254,1094,999,162,799,1063,34,432,1099,155,849
0206309-665,203,61,126,220,90,126,117,48,57,171,27,81,177,64,97
0211033-520,514,364,142,515,364,134,619,434,175,647,132,289,659,385,191
0211034-410,1234,677,500,1250,718,485,822,379,417,956,177,484,955,385,441
0202023-755,1265,603,622,1296,676,583,902,389,478,972,105,463,1009,419,489
0202016-350,1796,899,824,1811,935,796,1509,767,711,1648,239,730,1686,708,784
0202028-145,1069,422,638,1064,454,584,1116,523,574,1224,98,563,1226,523,581
0202024-705,1363,596,727,1372,653,665,876,402,445,972,121,462,979,375,486
0215838-804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0205038-814,30,14,15,30,14,14,28,15,11,29,2,19,28,11,8
0205038-812,196,134,35,202,153,26,227,154,49,193,18,106,195,82,14
0209005-596,1918,942,916,1945,994,875,1531,758,706,1670,218,776,1695,694,779
0207037-724,78,39,38,80,40,39,86,59,24,31,3,22,32,11,17
0202021-635,1423,834,546,1441,899,494,1210,722,442,1203,180,514,1221,648,429
0202028-110,1947,640,1270,1954,755,1147,1839,792,1016,1884,147,891,1885,720,962
0202024-725,1573,630,908,1566,700,816,1309,585,685,1490,125,801,1504,579,768
0202017-405,476,289,169,476,288,174,477,307,154,557,116,215,584,313,199
0209001-455,302,134,151,309,141,162,236,104,122,322,39,138,334,121,182
0217011-055,1538,333,1121,1541,340,1139,1219,273,917,1368,79,563,1383,229,971
0217011-099,1094,358,686,1108,368,719,807,258,528,937,68,336,951,262,608
0202026-835,844,491,333,834,492,317,502,260,224,559,86,237,566,216,244
0202026-825,1363,633,661,1364,675,655,924,436,460,1084,177,457,1102,411,556
0209004-250,1163,757,365,1144,731,358,774,489,256,804,121,259,811,439,277
0224006-085,79,46,21,91,74,17,72,63,9,67,7,44,72,57,9
0202015-310,1132,576,491,1184,633,514,745,391,321,916,177,364,964,422,430
0202027-930,1662,767,835,1680,839,767,1517,818,648,1679,215,731,1722,794,741
0229006-010,77,60,14,77,63,6,42,28,10,42,2,23,44,37,5
